Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,1270.0,1286.0,1250.0,1250.0,1247.933349609375,434
2022-01-04,1200.0,1200.0,1177.0,1184.0,1182.04248046875,216
2022-01-05,1230.0,1235.0,1215.0,1235.0,1232.9581298828125,177
2022-01-06,1161.6099853515625,1206.0,1161.6099853515625,1206.0,1204.0062255859375,937
2022-01-07,1230.0,1260.010009765625,1230.0,1260.0,1257.916748046875,343
2022-01-10,1255.0,1255.0,1253.0,1254.0,1251.9268798828125,20
2022-01-11,1244.0,1254.0,1244.0,1254.0,1251.9268798828125,121
2022-01-12,1254.0,1254.0,1254.0,1254.0,1251.9268798828125,0
2022-01-13,1258.0,1258.0,1258.0,1258.0,1255.92041015625,2816
2022-01-14,1231.0,1231.0,1231.0,1231.0,1228.96484375,368
2022-01-17,1231.0,1231.0,1231.0,1231.0,1228.96484375,0
2022-01-18,1216.0,1216.0,1216.0,1216.0,1213.9896240234375,28
2022-01-19,1234.0,1234.0,1221.0,1224.3699951171875,1222.3455810546875,1082
2022-01-20,1273.0,1291.1700439453125,1263.2099609375,1265.280029296875,1263.1881103515625,9751
2022-01-21,1226.0,1226.0,1153.0,1153.0,1151.09375,1616
2022-01-24,1104.010009765625,1195.0,1104.010009765625,1193.949951171875,1191.9759521484375,367
2022-01-25,1256.0,1265.010009765625,1239.4000244140625,1262.0,1259.91357421875,1641
2022-01-26,1273.0,1295.0,1262.489990234375,1262.489990234375,1260.4027099609375,6639
2022-01-27,1260.0,1263.0,1205.0,1213.800048828125,1211.7933349609375,403
2022-01-28,1213.800048828125,1213.800048828125,1213.800048828125,1213.800048828125,1211.7933349609375,0
2022-01-31,1163.0,1165.1600341796875,1152.5,1160.0,1158.0821533203125,12292
2022-02-01,1195.0,1195.0,1190.0,1190.0,1188.0325927734375,121
2022-02-02,1207.0,1219.0,1190.4100341796875,1218.0,1215.986572265625,353
2022-02-03,1256.0,1280.0,1248.0,1280.0,1277.8839111328125,9998
2022-02-04,1348.0,1348.0,1320.0,1323.0,1320.8128662109375,131
2022-02-08,1390.0,1483.0,1390.0,1429.0,1426.637451171875,2972
2022-02-09,1477.0,1477.0,1440.0,1470.72998046875,1468.298828125,236
2022-02-10,1428.010009765625,1504.0,1428.010009765625,1451.4100341796875,1449.010498046875,271
2022-02-11,1427.0,1500.0,1423.0,1500.0,1497.52001953125,220
2022-02-14,1491.0,1515.0,1490.0,1515.0,1512.4951171875,186
2022-02-15,1472.0,1510.0,1457.0,1510.0,1507.503662109375,480
2022-02-16,1550.0,1550.0,1550.0,1550.0,1547.4373779296875,50
2022-02-17,1556.0,1556.0,1544.7099609375,1544.7099609375,1542.1561279296875,7720
2022-02-18,1558.75,1570.0,1550.0,1568.0,1565.4078369140625,256
2022-02-21,1568.0,1568.0,1568.0,1568.0,1565.4078369140625,11
2022-02-22,1625.0,1625.5899658203125,1495.0,1495.0,1492.5283203125,348
2022-02-23,1505.0,1522.0,1489.0,1519.5400390625,1517.02783203125,207
2022-02-24,1530.0,1581.31005859375,1477.0,1504.300048828125,1501.8131103515625,10147
2022-02-25,1482.0,1586.699951171875,1482.0,1586.0,1583.3778076171875,317109
2022-02-28,1618.0,1618.0,1542.0,1546.0699462890625,1543.5137939453125,134277
2022-03-01,1590.0,1760.0,1590.0,1642.0,1639.2852783203125,203351
2022-03-02,1670.0,1710.1199951171875,1642.0,1710.1199951171875,1707.292724609375,384780
2022-03-03,1710.1199951171875,1722.0,1649.199951171875,1715.0,1712.164794921875,3903
2022-03-04,1744.0,1904.0,1744.0,1900.0,1896.8587646484375,4109
2022-03-07,1930.0,1930.0,1785.0,1805.0,1802.11083984375,394
2022-03-08,1805.0,1805.0,1768.699951171875,1768.699951171875,1765.86865234375,384
2022-03-09,1640.0,1685.0,1635.5999755859375,1635.5999755859375,1632.9818115234375,953
2022-03-10,1750.0,1750.0,1650.0,1650.0,1647.3587646484375,107
2022-03-11,1690.0,1690.0,1674.1300048828125,1674.1300048828125,1671.449951171875,13718
2022-03-14,1533.0,1533.31005859375,1496.0899658203125,1521.97998046875,1519.5438232421875,248
2022-03-15,1500.0,1540.0,1500.0,1525.0,1522.5589599609375,15795
2022-03-16,1537.510009765625,1537.510009765625,1515.0,1515.0,1512.5748291015625,23
2022-03-17,1624.0,1662.0,1600.010009765625,1662.0,1659.33935546875,326
2022-03-18,1634.0,1650.0,1625.0,1650.0,1647.3587646484375,167
2022-03-22,1795.0,1840.0,1795.0,1814.6700439453125,1811.7652587890625,232254
2022-03-23,1893.300048828125,1929.989990234375,1893.300048828125,1904.1300048828125,1901.08203125,98768
2022-03-24,1900.449951171875,1945.0,1900.449951171875,1911.5999755859375,1908.5400390625,528834
2022-03-25,1911.6500244140625,1911.6500244140625,1824.550048828125,1844.0,1841.0482177734375,143933
2022-03-28,1798.0,1850.0,1792.0,1845.449951171875,1842.495849609375,244
