timestamp,Real,Prediccion,Señal,Movimiento Real
2024-12-31 22:30:00,2.131e-05,2.1934829525351526e-05,1,-1
2024-12-31 22:45:00,2.119e-05,2.189626549959183e-05,1,-1
2024-12-31 23:00:00,2.125e-05,2.1842149335145953e-05,1,1
2024-12-31 23:15:00,2.124e-05,2.1796642280220988e-05,1,-1
2024-12-31 23:30:00,2.114e-05,2.178817375779152e-05,1,-1
2024-12-31 23:45:00,2.118e-05,2.1773708086013797e-05,1,1
2025-01-01 00:00:00,2.131e-05,2.1737579669952394e-05,1,1
2025-01-01 00:15:00,2.135e-05,2.1788304479122164e-05,1,1
2025-01-01 00:30:00,2.1330000000000004e-05,2.1847161141633988e-05,1,-1
2025-01-01 00:45:00,2.148e-05,2.1893939646482468e-05,1,1
2025-01-01 01:00:00,2.143e-05,2.192688388824463e-05,1,-1
2025-01-01 01:15:00,2.131e-05,2.197065826892853e-05,1,-1
2025-01-01 01:30:00,2.138e-05,2.195514559328556e-05,1,1
2025-01-01 01:45:00,2.123e-05,2.192164393603802e-05,1,-1
2025-01-01 02:00:00,2.1269999999999998e-05,2.190487337589264e-05,1,1
2025-01-01 02:15:00,2.119e-05,2.1844313636422158e-05,1,-1
2025-01-01 02:30:00,2.122e-05,2.18125964486599e-05,1,1
2025-01-01 02:45:00,2.122e-05,2.1777651923894884e-05,1,-1
2025-01-01 03:00:00,2.117e-05,2.1774100250005724e-05,1,-1
2025-01-01 03:15:00,2.114e-05,2.176368200659752e-05,1,-1
2025-01-01 03:30:00,2.1210000000000002e-05,2.1729106214642528e-05,1,1
2025-01-01 03:45:00,2.119e-05,2.1722223613262177e-05,1,-1
2025-01-01 04:00:00,2.114e-05,2.1731638015508653e-05,1,-1
2025-01-01 04:15:00,2.1130000000000003e-05,2.171876813054085e-05,1,-1
2025-01-01 04:30:00,2.109e-05,2.1693129484653475e-05,1,-1
2025-01-01 04:45:00,2.1059999999999998e-05,2.1668955904245377e-05,1,-1
2025-01-01 05:00:00,2.116e-05,2.1633738837838174e-05,1,1
2025-01-01 05:15:00,2.1210000000000002e-05,2.1642405908703805e-05,1,1
2025-01-01 05:30:00,2.122e-05,2.1697517281770707e-05,1,1
2025-01-01 05:45:00,2.118e-05,2.1735231618881228e-05,1,-1
2025-01-01 06:00:00,2.115e-05,2.17529048961401e-05,1,-1
2025-01-01 06:15:00,2.119e-05,2.1741402652263644e-05,1,1
2025-01-01 06:30:00,2.115e-05,2.173976493597031e-05,1,-1
2025-01-01 06:45:00,2.117e-05,2.1744750844836237e-05,1,1
2025-01-01 07:00:00,2.1130000000000003e-05,2.1744843336343766e-05,1,-1
2025-01-01 07:15:00,2.1120000000000004e-05,2.173720107138157e-05,1,-1
2025-01-01 07:30:00,2.1130000000000003e-05,2.1719489564299585e-05,1,1
2025-01-01 07:45:00,2.115e-05,2.1712720419168475e-05,1,1
2025-01-01 08:00:00,2.114e-05,2.1723701010942462e-05,1,-1
2025-01-01 08:15:00,2.103e-05,2.1731562789082527e-05,1,-1
2025-01-01 08:30:00,2.104e-05,2.1692737320661545e-05,1,1
