timestamp,Real,Señal,Retorno,Estrategia,Retorno Acumulado,Estrategia Acumulada
2025-01-07 22:00:00,2.1879999999999997e-05,1,0.007366482504604033,0.007366482504604033,1.0519230769230747,1.2145589629732565
2025-01-07 22:15:00,2.1800000000000005e-05,1,-0.003656307129798586,-0.003656307129798586,1.0480769230769211,1.2101181623773767
2025-01-07 22:30:00,2.1879999999999997e-05,1,0.003669724770641869,0.003669724770641869,1.0519230769230745,1.2145589629732565
2025-01-07 22:45:00,2.1949999999999998e-05,1,0.0031992687385740126,0.0031992687385740126,1.055288461538459,1.2184446634946517
2025-01-07 23:00:00,2.1800000000000005e-05,1,-0.00683371298405433,-0.00683371298405433,1.048076923076921,1.2101181623773767
2025-01-07 23:15:00,2.192e-05,1,0.0055045871559631365,0.0055045871559631365,1.0538461538461514,1.216779363271197
2025-01-07 23:30:00,2.185e-05,1,-0.0031934306569343374,-0.0031934306569343374,1.0504807692307667,1.2128936627498017
2025-01-07 23:45:00,2.179e-05,1,-0.0027459954233409745,-0.0027459954233409745,1.0475961538461513,1.2095630623028915
2025-01-08 00:00:00,2.19e-05,1,0.005048187241854185,0.005048187241854185,1.052884615384613,1.215669163122227
2025-01-08 00:15:00,2.19e-05,1,0.0,0.0,1.052884615384613,1.215669163122227
2025-01-08 00:30:00,2.197e-05,1,0.0031963470319635867,0.0031963470319635867,1.0562499999999977,1.2195548636436224
2025-01-08 00:45:00,2.1959999999999996e-05,1,-0.00045516613563978403,-0.00045516613563978403,1.0557692307692281,1.218999763569137
2025-01-08 01:00:00,2.179e-05,1,-0.0077413479052821366,-0.0077413479052821366,1.0475961538461513,1.2095630623028917
2025-01-08 01:15:00,2.182e-05,1,0.0013767783386875454,0.0013767783386875454,1.0490384615384591,1.211228362526347
2025-01-08 01:30:00,2.1749999999999997e-05,1,-0.0032080659945006307,-0.0032080659945006307,1.0456730769230744,1.2073426620049514
2025-01-08 01:45:00,2.183e-05,1,0.0036781609195404297,0.0036781609195404297,1.0495192307692285,1.211783462600832
2025-01-08 02:00:00,2.186e-05,1,0.0013742556115439175,0.0013742556115439175,1.0509615384615363,1.2134487628242872
2025-01-08 02:15:00,2.1889999999999995e-05,1,0.0013723696248852946,0.0013723696248852946,1.0524038461538436,1.215114063047742
2025-01-08 02:30:00,2.185e-05,1,-0.0018273184102327589,-0.0018273184102327589,1.050480769230767,1.2128936627498021
2025-01-08 02:45:00,2.177e-05,1,-0.0036613272311212253,-0.0036613272311212253,1.046634615384613,1.208452862153922
2025-01-08 03:00:00,2.165e-05,1,-0.005512172714745023,-0.005512172714745023,1.0408653846153824,1.2017916612601016
